STR	CON
1	0.262560095235
4.32192809489	-3.05936799965
4.70043971814	3.84752259596
3.16992500144	-3.05936799965
1	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
4.16992500144	3.43248509668
4.16992500144	-3.05936799965
4	-3.05936799965
4.75488750216	3.96299981338
3.58496250072	2.84752259596
3	2.26256009524
2	1.26256009524
3.90689059561	-3.05936799965
3.58496250072	-3.05936799965
1.58496250072	-3.05936799965
4.08746284125	-3.05936799965
3.45943161864	-3.05936799965
2.58496250072	2.58448819012
2	1.26256009524
4.45943161864	4.35002293649
3.16992500144	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
2	-3.05936799965
1.58496250072	-3.05936799965
1	-3.05936799965
1	-3.05936799965
1	-3.05936799965
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
3.45943161864	-3.05936799965
3.16992500144	-3.05936799965
2.32192809489	2.26256009524
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
1	-3.05936799965
1.58496250072	-3.05936799965
2	-3.05936799965
2.58496250072	1.84752259596
2	1.26256009524
3.70043971814	-3.05936799965
2	1.26256009524
2.32192809489	-3.05936799965
2	-3.05936799965
3	2.26256009524
1.58496250072	-3.05936799965
1.58496250072	-3.05936799965
2	-3.05936799965
2.58496250072	-3.05936799965
2	-3.05936799965
2.80735492206	-3.05936799965
2	-3.05936799965
2	-3.05936799965
1.58496250072	-3.05936799965
3.58496250072	-3.05936799965
3.58496250072	-3.05936799965
3.45943161864	-3.05936799965
3.45943161864	-3.05936799965
3.58496250072	-3.05936799965
3.45943161864	-3.05936799965
3.58496250072	-3.05936799965
3.58496250072	-3.05936799965
3.32192809489	-3.05936799965
3.58496250072	-3.05936799965
3.45943161864	-3.05936799965
3.58496250072	-3.05936799965
3.58496250072	-3.05936799965
3.58496250072	-3.05936799965
3.45943161864	-3.05936799965
3.45943161864	-3.05936799965
3.32192809489	-3.05936799965
3.45943161864	-3.05936799965
3.45943161864	-3.05936799965
3.32192809489	-3.05936799965
3.45943161864	-3.05936799965
3.32192809489	-3.05936799965
3.45943161864	-3.05936799965
3.45943161864	-3.05936799965
3.45943161864	-3.05936799965
3.45943161864	-3.05936799965
3.32192809489	-3.05936799965
